Subject,Grade,Super Category,Category Code,Category Name,Skill Code,Permacode,Skill ID,Skill Name,Question Preview URL,URL
Maths,Reception,,A,Count to 3,A.1,YFR,2020055715,Identify numbers - up to 3,https://www.ixl.com/screenshot/291a21ff6d22a75448af5ffd84d0db76760ad027.png,https://uk.ixl.com/maths/reception/identify-numbers-up-to-3
Maths,Reception,,A,Count to 3,A.1,YFR,2020055715,Identify numbers - up to 3,https://www.ixl.com/screenshot/291a21ff6d22a75448af5ffd84d0db76760ad027.png,https://uk.ixl.com/maths/reception/identify-numbers-up-to-3
Maths,Reception,,A,Count to 3,A,YFR,2020055715,Identify numbers - up to 3,https://www.ixl.com/screenshot/291a21ff6d22a75448af5ffd84d0db76760ad027.png,https://uk.ixl.com/maths/reception/identify-numbers-up-to-3
Maths,Reception,,A,Count to 3,A.2,WAF,2020650817,Choose the number that you hear - up to 3,https://www.ixl.com/screenshot/238dce426253b40728e82363005a924784102e7e.png,https://uk.ixl.com/maths/reception/choose-the-number-that-you-hear-up-to-3
Maths,Reception,,A,Count to 3,A.2,WAF,2020650817,Choose the number that you hear - up to 3,https://www.ixl.com/screenshot/238dce426253b40728e82363005a924784102e7e.png,https://uk.ixl.com/maths/reception/choose-the-number-that-you-hear-up-to-3
Maths,Reception,,A,Count to 3,A,WAF,2020650817,Choose the number that you hear - up to 3,https://www.ixl.com/screenshot/238dce426253b40728e82363005a924784102e7e.png,https://uk.ixl.com/maths/reception/choose-the-number-that-you-hear-up-to-3
Maths,Reception,,A,Count to 3,A.3,WSV,2020008721,Learn to count - up to 3,https://www.ixl.com/screenshot/7660f6a3beb16a3888fb4c7dca9a407973358b89.png,https://uk.ixl.com/maths/reception/learn-to-count-up-to-3
Maths,Reception,,A,Count to 3,A.3,WSV,2020008721,Learn to count - up to 3,https://www.ixl.com/screenshot/7660f6a3beb16a3888fb4c7dca9a407973358b89.png,https://uk.ixl.com/maths/reception/learn-to-count-up-to-3
Maths,Reception,,A,Count to 3,A,WSV,2020008721,Learn to count - up to 3,https://www.ixl.com/screenshot/7660f6a3beb16a3888fb4c7dca9a407973358b89.png,https://uk.ixl.com/maths/reception/learn-to-count-up-to-3
Maths,Reception,,A,Count to 3,A.4,ZNF,2002012509,Count objects - up to 3,https://www.ixl.com/screenshot/1785d0191aa499b415097a277eaa9417b038a17c.png,https://uk.ixl.com/maths/reception/count-objects-up-to-3
